Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução,Algoritmo,Semente,Temperatura,Resfriamento
15,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2251405715942382,Algoritmo Genético,14,,
95,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2378075122833252,Algoritmo Genético,14,,
94,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2486312389373779,Algoritmo Genético,14,,
16,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2716014385223388,Algoritmo Genético,14,,
14,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2764110565185547,Algoritmo Genético,14,,
17,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.2804450988769531,Algoritmo Genético,14,,
38,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.294600248336792,Algoritmo Genético,14,,
96,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.3127059936523437,Algoritmo Genético,14,,
74,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.3148455619812011,Algoritmo Genético,14,,
91,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.3328127861022949,Algoritmo Genético,14,,
24,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.3405940532684326,Algoritmo Genético,14,,
4,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.341064453125,Algoritmo Genético,14,,
87,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.3529078960418701,Algoritmo Genético,14,,
73,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.365617036819458,Algoritmo Genético,14,,
22,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4272048473358154,Algoritmo Genético,14,,
62,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4325382709503174,Algoritmo Genético,14,,
57,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4405694007873535,Algoritmo Genético,14,,
86,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4484524726867676,Algoritmo Genético,14,,
5,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4646627902984619,Algoritmo Genético,14,,
40,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4830069541931152,Algoritmo Genético,14,,
77,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4851601123809814,Algoritmo Genético,14,,
18,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.492218017578125,Algoritmo Genético,14,,
82,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.4922769069671631,Algoritmo Genético,14,,
78,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.5405151844024658,Algoritmo Genético,14,,
1,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.6885321140289307,Algoritmo Genético,14,,
39,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.6919398307800293,Algoritmo Genético,14,,
50,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.7103297710418701,Algoritmo Genético,14,,
31,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.7655572891235352,Algoritmo Genético,14,,
36,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.7785873413085938,Algoritmo Genético,14,,
61,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.8460252285003662,Algoritmo Genético,14,,
54,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.8704535961151123,Algoritmo Genético,14,,
0,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,0.9148311614990234,Algoritmo Genético,14,,
2,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,1.0465803146362305,Algoritmo Genético,14,,
55,57.39373403743617,[7 1 8 3 2 9 4 0 5 6],500.0,50.0,0.2,40.0,1.495142698287964,Algoritmo Genético,14,,
19,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.2317643165588379,Algoritmo Genético,14,,
69,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.2868883609771728,Algoritmo Genético,14,,
68,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.2906033992767334,Algoritmo Genético,14,,
83,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3488473892211914,Algoritmo Genético,14,,
92,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3556175231933594,Algoritmo Genético,14,,
67,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3618648052215576,Algoritmo Genético,14,,
27,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3661606311798095,Algoritmo Genético,14,,
21,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3726265430450439,Algoritmo Genético,14,,
7,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.3970813751220703,Algoritmo Genético,14,,
93,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.4313576221466064,Algoritmo Genético,14,,
10,57.570038725767176,[6 5 0 4 9 2 3 8 1 7],500.0,50.0,0.2,40.0,0.5143952369689941,Algoritmo Genético,14,,
