Execução,Distância Total,Melhor Caminho,Iterações,População,Mutação,Tentativas,Tempo de Execução
80,118.82455980829333,"[17  6 12 15 16 20  0 26 10  5  4 19 27  8  9 24 29  2  3 22 28 18 14 13
  7 21  1 11 23 25]",500,100,0.1,30,5.1181652545928955
59,120.55300949485822,"[ 7 14 13 18 28 22 21  1 11 23 25 27 19  4  9  8  3  2 29 24 17  6 12 15
 16 20  0 26 10  5]",500,100,0.1,30,7.34447169303894
2,121.1780099609493,"[15 16 20  0  4 19 27 25 23 11  1 21 22 28 14 13  7 18 29 24  2  3  8  9
 26 10  5 12  6 17]",500,100,0.1,30,6.908632278442383
61,121.49579413216046,"[12 15 16 20  0 26 10  5  9  4 19 27 25 23 11  1 21 22 13  7 14 18 28  8
  3  2 29 24  6 17]",500,100,0.1,30,6.999347448348999
75,122.33287644261061,"[17 24  2 29 18 28 22  8  9  3 14 13  7 21  1 11 23 25 27 19  4 26  5 10
  0 20 16 15 12  6]",500,100,0.1,30,2.866417169570923
95,122.48861269443037,"[ 4  9  3  8 27 19 25 23 11  1 21 22  7 13 14 28 18 29  2 24  5 26 10  0
 20 16 15 12  6 17]",500,100,0.1,30,10.710421800613403
28,122.59723247480966,"[17 24  2 29 18 28 22 21  1 11 23 25 27 19  4 26 10  0 20 16 15 12  6  5
  9  8  3 14 13  7]",500,100,0.1,30,3.456491470336914
38,123.42212409998704,"[17 24 29  2  8  9 26 10  0 20 16 15 12  6  5  3 28 18 14 13  7 22 21  1
 11 23 25 27 19  4]",500,100,0.1,30,6.587705612182617
31,123.55681810225288,"[ 4 27 19 25 23 11  1 21  7 13 14 18 28 22  8  3  9 15 16 20  0 26 10  5
 24  2 29 12  6 17]",500,100,0.1,30,9.419228792190552
83,124.34495724872868,"[ 7 13 14 18 28 22 21  1 11 23 25 27 19  8  3  9  4 26  5 10  0 20 16 15
 12  6 17  2 24 29]",500,100,0.1,30,1.7825706005096436
58,125.0270544160594,"[17 24 29  2 26 10  0 20 16 15 12  6  5  9  3  8  4 19 27 25 23 11  1 21
 22  7 13 14 18 28]",500,100,0.1,30,5.229414224624634
99,125.14230349503453,"[17 24 29  2  9  8  4 19 27 25 23 11  1 21 22  7 13 14 18 28  3 26 10  5
  6 12 16 20  0 15]",500,100,0.1,30,4.190305948257446
84,126.19277173557681,"[ 8  9  2 29 24  5 10  0 20 15  4 19 27 25 23 11  1 21 22 28 18 14 13  7
  3 26 16 12  6 17]",500,100,0.1,30,4.7565693855285645
21,126.28681329658234,"[27 23 11 21  1  7 13 14 18 28 22  3  8  9  2 29 24 17  6 12 15 16  0 20
  5 10 26  4 19 25]",500,100,0.1,30,2.878156900405884
77,126.31232994439917,"[25 27 19  4 11 21  1 23  8  9  3 22 28 14  7 13 18  2 29 24  5 10 26  0
 20 16 15 12  6 17]",500,100,0.1,30,2.8041539192199707
20,126.56065801203565,"[17  6 12 16 20 26  5 10  0 15  4  9  2 24 29  3 18 14  7 13 28 22  8 27
 19 25 23 11  1 21]",500,100,0.1,30,5.5611252784729
9,126.58610612425487,"[ 7 13 14 18 28 22  3  8  9  2 24 29 17  0 20 16 15 12  6  5 10 26  4 19
 27 25 23 11  1 21]",500,100,0.1,30,4.90189266204834
98,127.19049069089053,"[12  6 17 18 13  7 14 28 22  3  8  9  2 24 29  5 26 10  0 20 16 15  4 19
 27 25 23 11  1 21]",500,100,0.1,30,4.598597049713135
5,127.2605766654915,"[ 7 13 14 18 28 22  3  8  9 19 27 25 23 11  1 21  2 29 24  5 20  0 10 26
  4 15 16 12  6 17]",500,100,0.1,30,4.676807165145874
10,128.3017360023223,"[ 1 21  7 13 14 18 28 22  3  2 29 24 17  6 12 15 16 20  0 26 10  5  9  8
 11 23 25 27 19  4]",500,100,0.1,30,5.582365989685059
94,128.38923554628175,"[17 24  2 29 28 18 13  7 14 22  3  8 21  1 11 23 25 27 19  4  9 26  0 20
 16 15 12  6  5 10]",500,100,0.1,30,5.988440752029419
65,128.4645554015299,"[ 7 13 14 28 18 29  2 24 17  6 12  5 10 15 16 20  0 26  9  8  3 22 21  1
 11 23 25 27 19  4]",500,100,0.1,30,5.556785821914673
17,128.97438063271332,"[17 24 29  2 26 10  0 20 16 15  4 19 25 27 23 11  1 21  8  3 22  7 13 14
 18 28  9  5  6 12]",500,100,0.1,30,3.875673294067383
24,129.0241213004612,"[17  6 12 10 26  9  3  8  4 19 27 25 23 11  1 21 22 28 14  7 13 18 29 24
  2  5  0 20 16 15]",500,100,0.1,30,2.4267916679382324
67,129.42167141159783,"[ 7 13 14 28 18  3  9  2 29 24 17  6 12 15 16  0 20  5 10 26  4 19 27  8
 22 21 11  1 23 25]",500,100,0.1,30,3.8832051753997803
51,130.2970111080028,"[25  4 26  5 10  0 20 16 15 12  6 17 24  2 29 18 14  7 13 28 22 21  1 11
 23 19 27  8  3  9]",500,100,0.1,30,3.0346970558166504
92,130.65204611570837,"[17  3 22  8  9  2 24 29 28 18 14 13  7 21  1 11 23 25 27 19  4 20 16 12
  6  5 10 26  0 15]",500,100,0.1,30,8.590781211853027
22,131.15227395559398,"[ 4 19 27 25 23  1 21 11  8  9  3 22 28 18 14  7 13 29  2  5 26 10  0 20
 16 15 12  6 24 17]",500,100,0.1,30,3.309431314468384
73,131.28238851909148,"[ 7 13 14 22 21  1 11 23 25 27 19  4  9  2 29 24  5 10 26  0 20 16 15 12
  6 17 18 28  3  8]",500,100,0.1,30,5.090239763259888
8,131.6920985270706,"[17  6 12 15 20 16  0  5 10 26  4 19 27 25  9  2 24 29 18 28  3  8 22 14
 13  7 21  1 11 23]",500,100,0.1,30,4.94809627532959
0,131.96895981651292,"[ 7 13 14 18 28 22  8  3  2 29 24  6 12  5 10 26  0 20 16 15  4 21  1 11
 23 25 27 19  9 17]",500,100,0.1,30,7.775871276855469
62,131.98032668012672,"[ 8 22 28 18 21  1 11 23 25 27 19  4 15 20  0 16 12  6 17 24 29  2  5 10
 26  9  3 14 13  7]",500,100,0.1,30,4.301097393035889
23,132.54711575966238,"[12 15 20 16  6 17 24  5 10  0 26  4 19 27 25 23 11  1 21 22 28 13  7 14
 18  3  8  9  2 29]",500,100,0.1,30,4.1389312744140625
36,132.71063231395613,"[17 16 15 12  6 24 29  2  3 28 18 14 13  7 22  8  9  5 10  0 20 26  4 19
 27 11 21  1 23 25]",500,100,0.1,30,7.135262489318848
90,132.88048915389302,"[25 27 19 23 11  1 21  3  9  2 29 24 10  0 20 16 15 12  6 17  5 26  4  8
 22 28 18 14 13  7]",500,100,0.1,30,4.535916090011597
16,133.02186284201295,"[17  5 10 26 24 29  2  9  8  3 28 18 14  7 13 22 21  1 11 23 25 19 27  6
 12 16 20  0 15  4]",500,100,0.1,30,3.2885589599609375
15,133.10736272112175,"[11 23 25 27 19  4 15 16 12  6 17 24 29  2  3 28 18 14 13  7 22 21  1  8
  9  5 10 26  0 20]",500,100,0.1,30,4.6832075119018555
53,133.21042914832628,"[25 27  9  8  3 29  2 24  6 12 16 20  0 10  5 26 15  4 19 23 11  1 21 22
 28 18  7 13 14 17]",500,100,0.1,30,2.7879743576049805
14,133.86997208971158,"[17  6 12  5 24 29  2  3 22  7 13 14 18 28  8  9 10  0 20 16 15 26 21  1
 11 23 25 27 19  4]",500,100,0.1,30,2.541285514831543
88,135.72434392079387,"[17 24 29  2  3  8  9 10 16 20  0  5 26  4 19 27 25 23 11  1 21 22  7 13
 14 18 28 15  6 12]",500,100,0.1,30,9.070408582687378
60,135.79591067219505,"[17 16  0 20 15 12  6  5 10 26  4  9 24 29  2 19 27 25 23 11  1 21 22 28
 18  8  3 14 13  7]",500,100,0.1,30,4.965987682342529
81,136.0098110720998,"[12  6  5 26 10  0 20 16 15  4 25 27 19  9  2 24 29  3  8 22 21  1 11 23
 28 18 14 13  7 17]",500,100,0.1,30,7.8762733936309814
48,136.04867427634807,"[14  7 13 18 28 22 21 11  1 23 19 27  8  3 29 24  2  9 26 10  5  6 17 12
 16 20  0 15  4 25]",500,100,0.1,30,4.039494276046753
47,136.33257633906683,"[25 23 11  1 21 22  7 13 14 28 18 29 24  2  5 10  0 15 16 20 26  9  3  8
  4 19 27 12  6 17]",500,100,0.1,30,4.375791549682617
54,136.3683642370289,"[17  6 12  5  3  9 26 10  0 20 16 15  4 19 27 25 23  8  2 24 29 11  1 21
 22 28 18 14 13  7]",500,100,0.1,30,3.402981758117676
46,136.44168472854648,"[17 24  9 19 27 25 23 11  1 21 22 28 18 14 13  7  3  8  4 15  0 20 16 12
  6 29  2  5 10 26]",500,100,0.1,30,11.709091901779175
70,136.89471408928168,"[22  8  9  6 12 16 20  0 26 10  5 24 29  2  3  7 14 13 18 28 21  1 11 23
 25 27 19  4 15 17]",500,100,0.1,30,3.740678548812866
78,137.01784537351006,"[17 24 29  2  3  8 21  1 11 23 19 27 22  7 13 14 18 28  9  0 20 15 16 12
  6  5 10 26  4 25]",500,100,0.1,30,4.405266523361206
11,137.18064703387708,"[25 27 19 23 22 28 21  1 11  8  2 24 29 18 14  7 13  3  9  5 10 26  4 15
  0 20 16 12  6 17]",500,100,0.1,30,3.199221611022949
49,137.66089752093743,"[17  6 12  5 10  0 20 16 15 26  4  9 24 29  2  3  8 11 22  7 13 14 28 18
 27 19 25 23  1 21]",500,100,0.1,30,3.4629344940185547
87,138.0686740485974,"[17  0 20 16 15 12  6  5 10 26  4 23  1 21 11  8  9 24 29  2  3 28 18 14
 13  7 22 19 27 25]",500,100,0.1,30,5.833082437515259
18,138.6167085299812,"[ 7 13 14 23 25 27 19  4  9  5 20  0 10 26 15 16 12  6 17 29 24  2  3  8
 11  1 21 22 28 18]",500,100,0.1,30,2.999002456665039
40,139.3266271800559,"[17  6 12 16 20  0  5 29 24  2  9  3  8 27 19  4 15 10 26 25 23 11 22 28
 18 13 14  7 21  1]",500,100,0.1,30,6.622048616409302
89,139.50645372709133,"[15  0 20 16 12 10 26 11  1 21 28 18 14 13  7 22  8  3  2 24 29  9 23 25
 27 19  4  5  6 17]",500,100,0.1,30,9.381038188934326
43,140.01581461369346,"[15 16 20  0 10  5  9 24 17  6 12 26  4 19 27 25 23  1 21 11  8  2 29  3
 22 28 13  7 14 18]",500,100,0.1,30,2.4638707637786865
34,140.62162799603178,"[17 24  2 29 14 13  7 22  8  9 23 11  1 21 28 18  3  5 10  0 20 16 15 12
  6 26  4 19 27 25]",500,100,0.1,30,7.348505020141602
