Execução,Distância Total,Melhor Caminho,Iterações,Temperatura,Resfriamento,Tentativas,Tempo de Execução
90,151.8686132219562,"[21  7  2 25 16 28 23 11 18 24  1 13  4  8 17 26  9 29 19  3 12 15 22 10
  0 14 20 27  5  6]",2000,100,0.95,150,0.03202414512634277
0,156.4526401456451,"[10 12 15  1  3 19 29  9 26 17  8  4 13 24 18 11 22 20 23  2 25  7 21 16
 28 14 27  0  5  6]",2000,100,0.95,150,0.12496352195739746
52,156.45630329231113,"[21 25  2  7 16 28 23  0 14 20 13 18 11 10  5  6 27 22 24 12 15  1  3 19
 29  9 26 17  8  4]",2000,100,0.95,150,0.06928229331970215
46,157.13224719458887,"[21  8 16 28  7 25  2 23 20 24  1  3 13  4 17  9 26 29 19 15 12 18 11 22
 10  0 14 27  5  6]",2000,100,0.95,150,0.06954073905944824
56,158.74340072431718,"[21  7 25  2 23 20 22 24 12 18 11 10  5  6 27 14  0 16 28  8 17 26  9 29
 19  3  4 13 15  1]",2000,100,0.95,150,0.05019688606262207
81,159.9605454452761,"[ 6  5 27 25  2  7 21 16 28 23 22 10 11 18 12 15 24  1 13  4 17 26  3 19
 29  9  8 20  0 14]",2000,100,0.95,150,0.04756498336791992
68,160.66549881916546,"[ 9 26 17 13 24 18 11 10  5  6 27  0 14 20 22 23 28 16 21 25  2  7  8  4
 15 12  1  3 29 19]",2000,100,0.95,150,0.03470969200134277
50,161.34832849398884,"[21 16 28  2 25  7 27 20 23 22 24  1  3 19 29 26  9 17  8  4 13 12 15 18
 11 10  0 14  5  6]",2000,100,0.95,150,0.04546618461608887
19,161.98969405382317,"[10  5  6 27  0 14 20 28  8 17 19 29  3 13 22 11 18 12 24 15  1  9 26  4
 23  2 25  7 16 21]",2000,100,0.95,150,0.06384778022766113
85,162.42076335501037,"[11 18 12  3 29 19 24 15  1 13  4 23 14 27 10 22 20  0  5  6 25  2  7 21
 16 28  8 17 26  9]",2000,100,0.95,150,0.043203115463256836
42,164.21575437593228,"[ 6  5 25  2 20 24 15 12 18 11 10  0 27 14 22  1  3 19 29  9 26 17  4 13
 23  8 16 28  7 21]",2000,100,0.95,150,0.037705421447753906
89,165.52377161830466,"[18 15 12 24 11 10  0 27  5  6 14 20 28 16 21  8 17 26  9 19 29  3  4 13
  1 22 23  7  2 25]",2000,100,0.95,150,0.04263949394226074
21,167.9314466631802,"[ 3 19 29  9 26 17  4 14  0 27  5  6 22 24 15 12 20 23  2 25  7 21 16 28
  8 13  1 18 11 10]",2000,100,0.95,150,0.07522106170654297
77,168.21261577456576,"[12 15 24  1 13 26  9 17  8 28 16 21 25 27  5  6 10 11 18 22  0 14 20  2
  7 23  4  3 29 19]",2000,100,0.95,150,0.11181187629699707
29,168.33772043287513,"[21 25  2 20 14  0 22 11 18 24 12 15 26 17  8 28 16  7 23  4  9 29 19  3
  1 13 27 10  5  6]",2000,100,0.95,150,0.031484127044677734
53,168.7001491018243,"[ 6  5 22 10 11 18 15 12  1  3 13 20 14  0 27 25  2  7 23 24 19 29  9 26
 17  4  8 28 16 21]",2000,100,0.95,150,0.04570651054382324
40,170.15224806694985,"[21 17  8 16 28  7  2 25  6  5 27 14 20 23  4 19 29  9 26  3 18 11 10  0
 22 24 12 15  1 13]",2000,100,0.95,150,0.03593564033508301
37,170.57038930185308,"[28  7 25  2 23 15 12  1 19  3 29  9 26 17  8 21 16  4 13 24 18 11 10  0
 14 27  5  6 20 22]",2000,100,0.95,150,0.02492380142211914
44,170.57835351779096,"[11 18 12 15 24 22 23  2  7 28 16  4 20 14 27  0 10  5  6 25 21  8 17 26
  9 29 19  3 13  1]",2000,100,0.95,150,0.05128931999206543
11,170.60286329497126,"[ 3 12 18 11 10  0 14  4 17 26 19 29  9  8 21 25  2  7 16 28 23 20 22 24
 15  1 13 27  5  6]",2000,100,0.95,150,0.34711503982543945
80,171.11102892170788,"[10  5  6 27  0 14 20  4 13  1  3 19 29 17  2 25  7 21 16 28  8 23 22 11
 18 12 15 24 26  9]",2000,100,0.95,150,0.04503631591796875
10,171.99718652330284,"[ 9 26 17  4  7 21 25  2  8 28 16 23 22 18 11 10  0 14 24 12 15  1  3 19
 29 13 20 27  5  6]",2000,100,0.95,150,0.15079188346862793
73,172.63488873618763,"[25  2  8 17  9 26  4 12 24 15  1 13 22 27  5  6  0 14  3 29 19 18 11 10
 20 23 16 28  7 21]",2000,100,0.95,150,0.04892373085021973
93,172.6562774242882,"[25  2  8  9 26 19 29  3 12 24 15 18 11 10  1 13  4 17 20  5  6 27  0 14
 22 23 16 28  7 21]",2000,100,0.95,150,0.02303147315979004
84,173.4121934092908,"[ 3 19 29  9 26 17  4  8 11 18  1 13 24 15 12 22 10 14 20  2 25  6  5 27
  0 23 28 16  7 21]",2000,100,0.95,150,0.03075551986694336
34,173.49676309165082,"[ 6  5 27  0 14  7 28  2 25 21 26  9 17  8 16 23 20 24 12 15  1 13  3 19
 29  4 22 10 11 18]",2000,100,0.95,150,0.028954029083251953
27,173.86355241991632,"[10 22 14 25  2  7 21  8 17 26  9 29 19  4 16 28 23 13 11 18  3  1 12 15
 24 20  0 27  5  6]",2000,100,0.95,150,0.028259754180908203
72,174.61918372689237,"[19 29  3  1 24 12 15 22 14  0 10 11 18 13  4 17  8 23 20 27  6  5 25  2
  7 21 16 28 26  9]",2000,100,0.95,150,0.06807279586791992
20,174.9241097689097,"[ 9 26 17 16 21 23 20  0 10 11 18 24 22 14 27  5  6 25  2  7 28  8  4 29
 19  3 12 15  1 13]",2000,100,0.95,150,0.05912160873413086
3,175.10823089496284,"[21  7 16 28  4 20 22 11 10 27  5  6  0 14 23 25  2  8 17  9 26 13 24 15
  1  3 19 29 12 18]",2000,100,0.95,150,0.1108558177947998
18,175.41442992520132,"[15  1  3 29 19 12 24 18 11 10 22 20 23  2  7 21 25  6  5 27  0 14 13  4
  9  8 28 16 17 26]",2000,100,0.95,150,0.10935831069946289
58,176.01534564680043,"[21  7  8 16 28 17 26  9  4 23 25  2 29 19  3  1 18 11 10  0 14 20 22 24
 15 12 13 27  5  6]",2000,100,0.95,150,0.021013736724853516
39,176.04858314515755,"[21 25  7  8  4  3 19 29  9 26 17 23 20 14  0 22 18 11 10  5  6 27  2 16
 28 24 12 15  1 13]",2000,100,0.95,150,0.03840923309326172
59,176.73998329516021,"[12 15 24  4 26  9 17  8 23 20  0 10 18 11 22 28 16 21  7  2 25  6  5 27
 14 13  1  3 19 29]",2000,100,0.95,150,0.02695012092590332
55,177.71311875934484,"[10 22 13  3 19 29  9 26 28 23 20  1 12 15 24 14  0 27  5  6 25  2  7 21
 16  8 17  4 11 18]",2000,100,0.95,150,0.03270125389099121
14,178.0722942706092,"[ 4  9 26 17  8 21 25  6  5 27 28 16  7  2 23 20  0 14 10 22 11 18 15 29
 19  3  1 13 24 12]",2000,100,0.95,150,0.04315447807312012
91,180.2114018514224,"[26 17  4  8  7  2 25 20 14 13  1  9 29 19  3 24 11 18 12 15 22 10  0 27
  5  6 23 28 16 21]",2000,100,0.95,150,0.0436244010925293
51,180.4463709838217,"[ 6  5 23 16 11 18 12 15 24 10  0 27 14 20 22 13  1  4 26 29 19  3  9 17
  8 28  2  7 21 25]",2000,100,0.95,150,0.057517290115356445
9,180.69310257965748,"[17  8 16 28 21  7  2 23  9 26  4 14  0 27  5  6 25 20 24 15 12  1 19 29
  3 13 11 18 22 10]",2000,100,0.95,150,0.11133980751037598
75,180.77718764484635,"[ 8  4 22 27  5  6  0 20 25  2  7 21 16 28 23 15 24 14 10 11 18 12  1 13
 17 26  9 29 19  3]",2000,100,0.95,150,0.07182574272155762
30,181.40199281444046,"[10  0 14 17  9 26 24 12 15  1  4  8  2 25  7 16 21 28 23 20 22 11 18 19
 29  3 13 27  5  6]",2000,100,0.95,150,0.05913805961608887
87,182.35763794424992,"[ 7  2 25 21 16  0 10 11 18  3 19 29  9 26 17  4  8 28 23 22 27 14 20 13
 24 12 15  1  5  6]",2000,100,0.95,150,0.02354907989501953
88,182.5622872681556,"[18 11 12  1  3 19 29 13  4 26  9 17  8 15 24 22 10  0  7 21 16 28 23 20
 14  2 25 27  5  6]",2000,100,0.95,150,0.026430130004882812
76,183.58129031363546,"[25  2  7 23 20 22 24  1  4 16 28 14  0  5  6 27 10 12 15  3 29 19 18 11
 13 26  9 17  8 21]",2000,100,0.95,150,0.067291259765625
60,183.7630046207185,"[21  8  4 13  1 23 28 16  7  2 25  6  5 22 15 24 12 19 29 20 14  0 27 10
 11 18  3  9 26 17]",2000,100,0.95,150,0.041529178619384766
1,184.50587247224763,"[15 24 22 10  5  6 25  2  7 23 20 27  0 14 17  8 21 28 16  4 13  1 26  9
 29 19  3 12 18 11]",2000,100,0.95,150,0.08721399307250977
4,185.82499080995535,"[12 24 15  1  3 18 11 10 22 13  4 26 17  0 27  5  6 25  2  7 16 23 14 20
 19 29  9  8 28 21]",2000,100,0.95,150,0.169158935546875
78,186.20068878023199,"[ 3 19 29  9 20 14 28 16  8 17 26  4 12 15  1 13  7 21 25  2 23 24 18 11
 22 10 27  0  5  6]",2000,100,0.95,150,0.06024479866027832
63,186.2107108787009,"[ 6  5 27  0 25  2 29 19  3 13 14 20 23  8 17  9 26  4 18 11 10 22 24 12
 15  1 28 16  7 21]",2000,100,0.95,150,0.03599834442138672
43,186.43478098728713,"[29 19  3  1 13 22 20  7 21  2 25  5  6  0 14 11 18 12 15 24 23  4 26  9
 17  8 16 28 27 10]",2000,100,0.95,150,0.0308840274810791
82,186.55735854656072,"[21 28 16  7  8 17  4 29 19 13 14 27  0 10 11 18  3  9 26  1 15 12 24 22
 20 23  2 25  6  5]",2000,100,0.95,150,0.021276235580444336
28,187.55742319805404,"[ 9 26 17  4  8 16  7 28  2 25 22 15  1 13  3 19 29 20 14  5  6 27  0 10
 24 12 18 11 23 21]",2000,100,0.95,150,0.04899263381958008
41,187.94614430982423,"[ 6  5 27  0 25  2  7 23  3 19 29 13 22 20 14 10 11 18 26  9 17  8  4 24
 12 15  1 28 16 21]",2000,100,0.95,150,0.048723697662353516
49,189.16928784137335,"[10  0 14 13  1  3 29 19 12 18 11 22 20 28  8 17  4 24 15  9 26 23  7 21
 16  2 25 27  5  6]",2000,100,0.95,150,0.04912614822387695
83,189.84463346213724,"[26  9 29 19  3  4  7  2 25 21  8 17 12 15  1 13 16 28 24 11 18 10 22 14
 23 20  0 27  5  6]",2000,100,0.95,150,0.030379772186279297
57,190.1323591754018,"[ 9 29 19  3 13  1 15 12 24 20 27  6  5 23  8 16 28  7  2 25 18 11 10 22
  0 14  4 26 17 21]",2000,100,0.95,150,0.021846294403076172
26,190.23528476945205,"[20 27  5  6  0 14 28 16 23  4 29  3 12 15 24  1 13 22 10 11 18 19 26 17
 21 25  2  7  8  9]",2000,100,0.95,150,0.022709369659423828
62,191.31903534063179,"[10  5  6 27 24 12 18 11 15  1 22 20 23  9  3 29 19 17 26  8 28  2  7 25
 21 16  4 13 14  0]",2000,100,0.95,150,0.019877195358276367
36,192.1263586982926,"[13  1  3 29 19 14  0 27  5  6 25  7 21  8 16 28 20  4 26  9 17  2 23 22
 10 24 15 12 18 11]",2000,100,0.95,150,0.025534391403198242
94,192.3028035029816,"[ 9 26 23 27 10 11 18 12 15 24  5  6 25  2  7 29 19  3  1 20 14  0 22 13
  4 17  8 28 16 21]",2000,100,0.95,150,0.03052520751953125
48,192.41608905969792,"[ 6  5 25  2  7 20 14 27  0 10 11 18 22 23 28 21 16 13 15  1  3 26  4  8
 17  9 29 19 24 12]",2000,100,0.95,150,0.06262493133544922
12,192.61528288846014,"[24 15 12  1 10 11 18 22  0 14 20 28 16 23  4 17  3 19 29 26  9 13  5 27
  6 25  2  7 21  8]",2000,100,0.95,150,0.18260550498962402
25,193.62879876400658,"[27  0 14  3 29 19  9 26 21  7 25  2 28 17  4 24 12 15  1 13 23 16  8 22
 20  5  6 10 11 18]",2000,100,0.95,150,0.023344993591308594
92,193.94502161890907,"[25  7 21  8 17  3 11 18 24 12 15  1 13  0 27 20 23 28 16  2  6  5 14 19
 29  9 26  4 22 10]",2000,100,0.95,150,0.038223981857299805
31,194.1515154368283,"[ 8  4 20 14  0  3 19 29 27  5  6 10 22 24 15  1  9 26 17 12 18 11 13 23
 16 28  7  2 25 21]",2000,100,0.95,150,0.06403446197509766
32,194.18794300824203,"[21 28 16  7  2 25  6  5  8 17  9  3  1 13 23 20 10 27  0 14 22 19 29 26
  4 11 18 12 15 24]",2000,100,0.95,150,0.018364667892456055
8,194.87168580963547,"[13  4  8 21 16 28  7 25  2 23 19 29  9 26 17 27 10 22 24 15 20 14  0  5
  6 11 18 12  1  3]",2000,100,0.95,150,0.07295656204223633
15,195.4162198701932,"[ 3  9 17 26 29 19 12  1 13 22  0 14 20  2  7 25 21  5 27 23  8 28 16  4
 24 15 18 11 10  6]",2000,100,0.95,150,0.043570518493652344
16,195.74407385319887,"[12 15  1 13  4 20 22 10 11 18 24 23  7  2  0 27 25 21  3 19 29  9 17 26
  8 16 28 14  5  6]",2000,100,0.95,150,0.05507922172546387
71,196.04108948902052,"[18 11 10  5  6 27  2 25  7 16 17 26 13 15 12 19 29  9  3  1 24 22 23 28
 20 14  0  4  8 21]",2000,100,0.95,150,0.03575849533081055
47,196.214827719185,"[ 1 13 22 20 23  7 28 24 15 12 10 14  0  5  6 27  2 25 21 16  8 17  9 26
  4 18 11  3 29 19]",2000,100,0.95,150,0.060042619705200195
22,196.4422199753021,"[ 8 21 25  5  6 27 10 11 18  3 19 29  9 26  1 15 13  4 17 23 20 24 12 22
  0 14  2  7 28 16]",2000,100,0.95,150,0.03491616249084473
64,196.74540810712347,"[ 6  5 14 27 10  0 20  2  7 15  3 19 29  9 26  1 13 23 28 16  4 17  8 21
 25 22 24 12 18 11]",2000,100,0.95,150,0.0580134391784668
65,198.2347853329957,"[16 23 14  0 27 10 12 24 15  1  3 19 29  9 17 26  5  6 25 21  4 13 18 11
 22 20  2  7 28  8]",2000,100,0.95,150,0.01841902732849121
96,198.68267113141755,"[ 7 16  3 19 29  9  8 28 23  1 13  4 17 26 12 18 11 10  0 14 20 15 24 22
  5  6 27 25  2 21]",2000,100,0.95,150,0.04529595375061035
6,200.4114089844264,"[10 18 11 16 28  2 25 20 22 24  1 13 23  8 17 26  9 15 12  3 19 29  4 27
  0  5  6 14  7 21]",2000,100,0.95,150,0.053618669509887695
61,200.78808690725737,"[ 1 19 29  3 17  8 21  9 26 13 14  0 24 15 12 18 11 22 10  5  6 27 25  7
  2 20 23 28 16  4]",2000,100,0.95,150,0.024852275848388672
2,201.02002621372944,"[21  8 17  4 13 22 10 11 18  3  9 26 14  0 27 20 12 24 15  1 23 16 28  7
  2 25  5  6 19 29]",2000,100,0.95,150,0.10344839096069336
99,201.6696178438947,"[22 13 28 21 25  6  5  2  7 16 14 20 27  0 15 12  3 19 29  9 17 26  8 23
  4  1 24 18 11 10]",2000,100,0.95,150,0.023846864700317383
95,201.90154635744162,"[ 6  5 27 10  3 19 29  9 26 17  0 14 20  2  7  8 15 12 24  1 23 28 16 21
 25 22 11 18 13  4]",2000,100,0.95,150,0.03194427490234375
24,202.99248094771357,"[24 12 15  1 19 29 26  7 21  8  9  3 13 14 27  0 18 11 22 20  4 17 28 16
 23  2 25  6  5 10]",2000,100,0.95,150,0.021430015563964844
35,203.2563157813349,"[12 15  1 13  4 22 10 11 18 24 27  5  6  3 19 29  7  2 14  0 20 23 28 16
 26  9 17  8 21 25]",2000,100,0.95,150,0.02826547622680664
38,204.13439210974153,"[29 19  3 24 15 22 23 21  8 17 20 14  0  5  6 27 10 12  1 13 26  9  2 25
  7 28 16  4 11 18]",2000,100,0.95,150,0.020503759384155273
97,204.37120954412705,"[17  8 28  2 20 14 24 12 18 11  5  6 27  0 10 22 26  9  4 23  7 16 21 25
 13 15  1  3 19 29]",2000,100,0.95,150,0.04682660102844238
67,204.75006507151087,"[18 11 10 20 19 29  4 23 16  8 17  9 26 13 22 14  2  7 28 21 25  0 27  5
  6 15 12 24  1  3]",2000,100,0.95,150,0.030024051666259766
33,204.80076758648698,"[21 16 28 17  9 19 12 24  5  6 27 14  4 26  8  7 25  2 23 20 22 10  0 15
 29  3  1 13 11 18]",2000,100,0.95,150,0.017603158950805664
66,205.67266359773646,"[ 0 20 25  2 23 24 12  3 19 29  9 26 17 21  7 28 16  8  4 15 18  5  6 22
 11 10 27 14 13  1]",2000,100,0.95,150,0.05653095245361328
74,205.8816488913433,"[ 6  7  2 23  3 19 29 17 26  9 13  1 22 20 10 11 12 15 24 18 25 21 16 28
  8  4 14  0 27  5]",2000,100,0.95,150,0.039267778396606445
23,206.06074143309925,"[15 24  1 27  5  6 25  7  2  4  9 26 17 13 20 23 28 16  8  0 14 22 10 18
 11 12 19 29  3 21]",2000,100,0.95,150,0.021027565002441406
13,206.31983753341862,"[ 9 17 26  4 18 11 10 22  1 13  0  5  6 27 20  3 19 29  8 16 28 21  7 14
 24 12 15 23  2 25]",2000,100,0.95,150,0.05287623405456543
70,206.53453188090435,"[29 19  3 28 16 21  8 17  9 26 12 15  1 13 22  7  2 25 14 20 23  4 27 10
 11 24 18  0  5  6]",2000,100,0.95,150,0.020553112030029297
79,207.75929701035412,"[10  0 14  1  3 19 29 17 16 28 13 24 22 27  5  6  4 26  9  8  7  2 23 15
 12 18 11 20 25 21]",2000,100,0.95,150,0.0330049991607666
54,209.27211883069407,"[12 24 14 23  8 28 16 21 17  9 29 19  3 26 15 18 11  6  5 27  0  1 13  4
  2  7 25 20 22 10]",2000,100,0.95,150,0.015907764434814453
17,209.9962760598878,"[21 25  6  5  0 19 29  9 26 17  3 18 11 23  8  4  1 13 22 10 12 15 24 28
 16  7  2 20 14 27]",2000,100,0.95,150,0.06567597389221191
5,211.52637190761084,"[25 23 19 29  9 26 17  3 12 24 18 11 28 16 21  7  2 27  0 22 10  5 20 15
  1 13  4  8 14  6]",2000,100,0.95,150,0.06856036186218262
98,211.73958607872396,"[ 0 27 10 11 18 23  7  2 25  6  5 29 19  3 12 24 13 22 15  1  4  8 21 16
 28 20 14 17 26  9]",2000,100,0.95,150,0.05765557289123535
86,212.58470413150596,"[25  6  5 27  0 10 26  9 29 19  3  4 23 16  2  7 21 28 15  1 13 17  8 22
 18 11 12 24 14 20]",2000,100,0.95,150,0.028269290924072266
45,213.79355236740156,"[19 29  9  8 28 23 13  1  3 26 17  0  5 10 11 18 14 27  6  7 21 16  4 12
 15 24 22 20  2 25]",2000,100,0.95,150,0.05010223388671875
69,224.01555796513213,"[15 12  3  9 26  4 23 27  5  6 20 16  8 17 29 19 28 21  7 24  1 13 14  0
 10 11 18 22 25  2]",2000,100,0.95,150,0.01776862144470215
7,230.76126470486474,"[17 29 19  4 23  8 21  7  6 10 27  5 25  2 20 13  3 12 15 11 24  1  9 26
 16 28 14  0 22 18]",2000,100,0.95,150,0.059567928314208984
