Algoritmo,Semente,Distância Média,Tempo Médio de Execução,Pontos
Algoritmo Genético,14,58.57837829305426,0.48978242874145506,10
Algoritmo Genético,52,56.78297340812994,0.6032870864868164,10
Algoritmo Genético,87,65.25169675634469,0.5858196353912354,10
Hill Climb,14,62.58702340680518,0.003747067451477,10
Hill Climb,52,60.77225740665601,0.004781382083892773,10
Hill Climb,87,71.46153768577308,0.003696732521057078,10
Simulated Annealing,14,62.143397020915536,0.022941827774047806,10
Simulated Annealing,52,60.98895277330394,0.020173797607421832,10
Simulated Annealing,87,71.0956462864049,0.04200862646102901,10
Algoritmo Genético,14,139.6096369920302,5.019687395095826,30
Algoritmo Genético,52,163.005212630632,3.4431317234039307,30
Algoritmo Genético,87,167.3812922687727,5.576025853157043,30
Hill Climb,14,151.90114856835433,0.13744179010391233,30
Hill Climb,52,167.56823190180924,0.12813053846359249,30
Hill Climb,87,173.70279064899205,0.13971364498138425,30
Simulated Annealing,14,163.55446231873924,0.10755421638488766,30
Simulated Annealing,52,181.43470667989513,0.04092895746231075,30
Simulated Annealing,87,186.49204227452353,0.052571401596069295,30
Algoritmo Genético,14,192.95601686731644,35.083847622871396,50
Algoritmo Genético,52,201.3975977653643,48.939470043182375,50
Algoritmo Genético,87,206.01728454355896,50.03152535676956,50
Hill Climb,14,230.83768989780384,1.6949463343620301,50
Hill Climb,52,232.76525497753946,1.1860006904602052,50
Hill Climb,87,246.471605473153,1.7759061646461487,50
Simulated Annealing,14,259.3644110159177,0.10288774013519283,50
Simulated Annealing,52,265.3132266350763,0.10854696273803707,50
Simulated Annealing,87,289.24320706904655,0.24600894212722774,50
Algoritmo Genético,14,366.8892308649015,202.51901641845703,100
Algoritmo Genético,52,363.19956394885577,188.24565017938613,100
Algoritmo Genético,87,360.88247514235593,193.74816241264344,100
Hill Climb,14,390.9324404224393,21.027192158699037,100
Hill Climb,52,398.2818592072911,32.27314725637436,100
Hill Climb,87,401.58332749246733,32.256763734817504,100
Simulated Annealing,14,519.215236116924,0.23151570081710812,100
Simulated Annealing,52,509.92031483849445,0.22204696655273434,100
Simulated Annealing,87,506.4118163621086,0.2335253524780273,100
